Name,Wikipedia URL,Founded / Opened / Built,URL,Address,Postcode,Latitude,Longitude,District/ward,Borough,Region,Wikipedia_Type,Summary,Objects,Date Visited,Admission Cost,GFS Blog Post
Soseki Museum in London,,,,,,,,Clapham,City of London,North East,Historic house,"information, information, London home of Japanese author Natsume Sōseki",,,,
South London Gallery,,,,,,,,Camberwell,Southwark,South East,Art,Contemporary art,,,,
Southall Railway Centre,,,,,,,,Southall,Ealing,West,Transportation,Vintage steam and diesel locomotives and rolling stock,,,,
Southside House,,,,,,,,Wimbledon,Merton,South West,Historic house,17th century period house,,,,
Spencer House,,,,,,,,St James's,Westminster,North,Historic house,18th-century mansion with restored state rooms and garden,,,,
St Bartholomew's Hospital Museum,,,,,,,,Smithfield,City of London,North East,Medical,"History of the hospital and its work, historic surgical instruments, sculpture, medieval archives, works of art including paintings by William Hogarth",,,,
St Paul's Cathedral,,,,,,,,Ludgate Hill,City of London,North East,Religious,"Anglican cathedral with religious art, sculpture, architecture, tombs, decorative arts",,,,
Stephens Collection,,,,,,,,Finchley,Barnet,North,Biographical,"Life of Dr. Henry Stephens, inventor of an indelible blue-black ink, and his son Henry Charles Stephens, their ink company and local history",,,,
Strawberry Hill,,,,,,,,Twickenham,Richmond upon Thames,South West,Historic house,Gothic villa home of Horace Walpole,,,,
Sutton House,,,,,,,,Hackney,Hackney,North,Historic house,"Operated by the National Trust, 16th century Tudor house",,,,
Syon House,,,,,,,,Brentford,Hounslow,West,Historic house,"Family residence of the Duke of Northumberland, 18th-century house with interior by Robert Adam, collections of paintings and furniture, gardens, park",,,,
Tate Britain,,,,,,,,Millbank,Westminster,North,Art,National collection of historical and contemporary British art,,,,
Tate Modern,,,,,,,,Bankside,Southwark,South East,Art,National collection of modern art,,,,
The Guardian and Observer Archive and Visitor Centre,,,,,,,,Kings Cross,Islington,North,Media,Exhibitions from its collections,,,,
Tower Bridge,,,,,,,,,Tower Hamlets,North East,Technology,"Steam engines, workings of the bridge",,,,
Tower of London,,,,,,,,Tower Hill,Tower Hamlets,North East,Multiple,"Historic fortress, prison and former royal residence, includes the Royal Armouries, Crown Jewels of the United Kingdom, regimental museum of the Royal Fusiliers",,,,
Twickenham Museum,,,,,,,,Twickenham,Richmond upon Thames,South West,Local,"website, local history",,,,
Twinings Museum,,,,,,,,Strand,Westminster,North,Food,"History of Twinings, tea caddies and tea history",,,,
Two Temple Place,,,,,,,,,Westminster,North,Art,"Late Victorian mansion, now an art gallery to showcase publicly owned art from UK regional collections, only open during exhibitions",,,,
Type Museum,,,,,,,,Brixton,Lambeth,South West,Media,"Collection of typesetting equipment and artefacts, currently not open to the public",,,,
UCL Art Museum,,,,,,,,Bloomsbury,Camden,North,Art,"website, part of the University College London, exhibits in the Strang Print Room (South Cloisters)",,,,
UCL Geology Collections,,,,,,,,Bloomsbury,Camden,North,Natural history,"website, part of the University College London, rocks, minerals, fossils on display in the Rock Room, limited opening hours",,,,
V&A Museum of Childhood,,,,,,,,Bethnal Green,Tower Hamlets,North East,Toy,"Toys, dolls, children's playtime and lives",,,,
Valence House Museum,,,,,,,,Dagenham,Barking and Dagenham,North East,Local,"Local history, archeology, maritime and fishing industry, art",,,,
Valentines Mansion,,,,,,,,Ilford,Redbridge,North East,Historic house,"Country house with recreated Victorian kitchen and Georgian rooms, contemporary art exhibits, 18th-century gardens",,,,
Vestry House Museum,,,,,,,,Walthamstow,Waltham Forest,North East,Local,"Local history, culture",,,,
Victoria and Albert Museum,,,,,,,,South Kensington,Kensington and Chelsea,West,Multiple,"National collection of applied arts, includes ceramics, glass, textiles, costumes, silver, ironwork, jewellery, furniture, medieval objects, sculpture, prints and printmaking, drawings and photographs, theatre and performing arts, Asian art and decorative arts, architecture",,,,
Wallace Collection,,,,,,,,Marylebone,Westminster,North,Art,Old masters and decorative arts,,,,
Walthamstow Pump House Museum,,,,,,,,Walthamstow,Waltham Forest,North East,Transportation,"Currently closed, will become the Lea Valley Experience, pioneering achievements in road, rail, air and sea transport in the River Lea valley from the early 19th century. The museum will reopen on Sunday 2 March 2014 at 11:00.",,,,
Wandle Industrial Museum,,,,,,,,Mitcham,Merton,South West,Industry,"website, industries along the River Wandle",,,,
Wandsworth Museum,,,,,,,,Wandsworth,Wandsworth,South West,Local,Local history,,,,
Wellcome Collection,,,,,,,,,Camden,North,Medical,"Medical artefacts and original artworks exploring 'ideas about the connections between medicine, life and art', exhibits from the collections of the Wellcome Library",,,,
Wellington Arch,,,,,,,,,Westminster,North,History,Triumphal arch with exhibits about its history,,,,
"Wesley's Chapel, Museum of Methodism and John Wesley's House",,,,,,,,,Islington,North,Religious,History of Methodism from its founding by John Wesley to the present,,,,
West Ham United Museum,,,,,,,,Upton Park,Newham,North East,Sports,History and memorabilia of West Ham United,,,,
Westminster Abbey Museum,,,,,,,,Westminster,Westminster,North,Religious,"Royal and other funeral effigies, religious artefacts",,,,
Westminster Dragoons Museum,,,,,,,,Fulham,Hammersmith and Fulham,West,Military,"Regimental artefacts, regalia and memorabilia",,,,
White Lodge Museum and Ballet Resource Centre,,,,,,,,Richmond,Richmond upon Thames,South West,Ballet,"History of the Royal Ballet School, daily life of its students, history and development of Classical ballet, history of White Lodge, visits by appointment",,,,
Whitechapel Gallery,,,,,,,,Whitechapel,Tower Hamlets,North East,Art,Contemporary art,,,,
Whitehall,,,,,,,,Cheam,Sutton,South West,Historic house,Tudor house with elements from different eras,,,,
Whitewebbs Museum of Transport,,,,,,,,Enfield,Enfield,North,Transportation,"website, cars, trucks, motorcycles, model railway",,,,
William Morris Gallery,,,,,,,,Walthamstow,Waltham Forest,North East,Art,"Arts and Crafts movement furniture, textiles, ceramics and glass",,,,
Wimbledon Lawn Tennis Museum,,,,,,,,Wimbledon,Merton,South West,Sports,History of tennis,,,,
Wimbledon Windmill Museum,,,,,,,,Wimbledon,Merton,South West,Mill,"19th century windmill, exhibits on its history and other windmills",,,,
Women's Library,,,,,,,,,Tower Hamlets,North East,Library,"Part of London Metropolitan University, exhibits on women's history, culture and issues from its collections",,,,
World Rugby Museum,http://en.wikipedia.org/wiki/World_Rugby_Museum,opened:1996,http://www.rfu.com/microsites/museum,Rugby Road ,TW1 1DZ,,,Twickenham,Richmond upon Thames,South West,Sports,"Rugby union history and the England national rugby union team, players, memorabilia, history of Twickenham Stadium",,,,
